LWO (in),SWO (in),Pass
0.0115,0.0115,False
0.0192,0.0115,False
0.2346,0.0885,False
0.0154,0.0154,False
0.0192,0.0115,False
0.0115,0.0154,False
0.0192,0.0154,False
0.0115,0.0154,False
0.0731,0.0385,False
0.0115,0.0154,False
0.1385,0.0692,False
0.0115,0.0154,False
0.1423,0.0538,False
0.0115,0.0115,False
0.0269,0.0192,False
0.0192,0.0115,False
0.0115,0.0115,False
0.0192,0.0154,False
0.1269,0.0692,False
0.3423,0.3846,False
0.1231,0.0462,False
0.0308,0.0231,False
0.0154,0.0154,False
0.0192,0.0192,False
0.0269,0.0115,False
0.0115,0.0115,False
0.0231,0.0231,False
0.0154,0.0154,False
